sme	34	0.12	4	的sme (1), 二sme (1), equity (1), _ (1)
sml	0	0.0	0	
starbucks	0	0.0	0	
sustainalytics	1	1.0	1	_ (1)
taifx	0	0.0	0	
tcfd	4	1.0	4	tsma (1), tsap (1), tcfc (1), ecb (1)
ted	0	0.0	0	
tft	0	0.0	0	
tis	0	0.0	0	
tmt	0	0.0	0	
trf	0	0.0	0	
twa	0	0.0	0	
twaa	0	0.0	0	
two	2	0.5	1	qtwo (1)
ubike	0	0.0	0	
ubs	2	0.5	1	uvs (1)
ucb	0	0.0	0	
udr	0	0.0	0	
um	1	1.0	1	很 (1)
vat	0	0.0	0	
vif	0	0.0	0	
vip	3	0.0	0	
voa	1	1.0	1	的 (1)
vpl	1	1.0	1	npl (1)
webatm	0	0.0	0	
wechat	0	0.0	0	
yoy	28	0.0	0	
ytd	0	0.0	0	
一銀	0	0.0	0	
三商美邦	0	0.0	0	
三商美邦人壽	0	0.0	0	
三玉山銀行	0	0.0	0	
三重	0	0.0	0	
上海	0	0.0	0	
上海分行	0	0.0	0	
世傑	0	0.0	0	
中信	0	0.0	0	
中共	0	0.0	0	
中南亞	0	0.0	0	
中國	50	0.04	2	有擔任 (1), 呃中國 (1)
中國人壽	0	0.0	0	
中國信託	0	0.0	0	
中國城	0	0.0	0	
中國大陸	0	0.0	0	
中國子行	0	0.0	0	
中國招商銀行	0	0.0	0	
中國日本	0	0.0	0	
中國東莞	0	0.0	0	
中國深圳	0	0.0	0	
中國的子行	0	0.0	0	
中國銀行	0	0.0	0	
中壽	1	1.0	1	的 (1)
中央研究院	0	0.0	0	
中央銀行	0	0.0	0	
中東	0	0.0	0	
中莞	0	0.0	0	
中華	1	0.0	0	
中華信評	0	0.0	0	
中華公司治理協會	0	0.0	0	
中華民國	0	0.0	0	
中華開發	0	0.0	0	
中華電信	0	0.0	0	
主計處	21	0.095	2	處 (1), 技術 (1)
云云	0	0.0	0	
亞太	1	1.0	1	_ (1)
亞太區	1	0.0	0	
亞洲	27	0.0	0	
交通銀行	0	0.0	0	
人民銀行	0	0.0	0	
仁壽公司	0	0.0	0	
代表人辦事處	0	0.0	0	
代表辦事處	0	0.0	0	
仰光	0	0.0	0	
仰光代表人辦事處	0	0.0	0	
仰光分行	0	0.0	0	
伊朗	0	0.0	0	
佈局	5	0.4	2	布局 (2)
佈里斯本	0	0.0	0	
佩儀	0	0.0	0	
俄國	1	0.0	0	
保誠集團	0	0.0	0	
信保基金	0	0.0	0	
信合社	0	0.0	0	
信用卡事業處	0	0.0	0	
信第四信用合作社	0	0.0	0	
信義區	0	0.0	0	
信義計畫區	0	0.0	0	
倫巴冷崙頂	0	0.0	0	
偉眾銀行	0	0.0	0	
元大	13	0.23	3	那 (1), 大 (1), _ (1)
兆豐	0	0.0	0	
兆豐銀行	0	0.0	0	
全國銀行	0	0.0	0	
兩岸	0	0.0	0	
六福村	0	0.0	0	
冠德建設	0	0.0	0	
冰層	0	0.0	0	
凱基	2	0.5	1	台積 (1)
凱西	1	1.0	1	凱基 (1)
利差	65	0.077	5	這裡差 (1), 差 (1), 力道 (1), 低利銀 (1), _ (1)
利比亞	0	0.0	0	
前海	0	0.0	0	
創投	30	0.067	2	放投 (1), _ (1)
創投持	0	0.0	0	
劍湖山	0	0.0	0	
勒黃	0	0.0	0	
勞倫斯	0	0.0	0	
北中南	0	0.0	0	
北京	0	0.0	0	
北區	0	0.0	0	
北富銀	1	1.0	1	摩托 (1)
北投	0	0.0	0	
北非	0	0.0	0	
匯豐	0	0.0	0	
匯豐中華	0	0.0	0	
南半球	0	0.0	0	
南山	4	0.0	0	
南山人壽	0	0.0	0	
南山廣場	0	0.0	0	
南山廣場分行	0	0.0	0	
南美洲	0	0.0	0	
南非幣	0	0.0	0	
南韓	1	1.0	1	南行 (1)
印尼	0	0.0	0	
印度	0	0.0	0	
史密斯	1	1.0	1	使命是 (1)
吉米	0	0.0	0	
同奈	0	0.0	0	
吳哥窟	0	0.0	0	
吳宏冰	0	0.0	0	
吳寬	0	0.0	0	
